"location","latitude","longitude"
"ezra street",22.5756625,88.353235
"east road",22.5844106,88.3797535
"singh lane",22.5738743,88.3794203
"n road",22.4973993,88.3672597
"cross lane",22.5668901,88.393768
"west road",22.5836268,88.3790035
"narayan street",22.5782049,88.3757844
"d street",22.5506351,88.3540097
"new flyover",22.363063,88.4281796
"vip road",22.6037402,88.414349
"kossipore road",22.6214932,88.3728618
"kossipore road crossing",22.6214932,88.3728618
"rasul avenue",22.5089869,88.3469082
"manindra road",22.6117777,88.3854989
"rowdon street",22.5443785,88.3583574
"bose road crossing",22.5270146,88.3527005
"gariahat crossing",22.5157428,88.3668023
"bowbazar crossing",22.569418,88.3611769
"duff street",22.586789,88.3701342
"bagan street",22.592507,88.3762154
"sahitya parisad street",22.5912025,88.3724177
"doctor lane",22.55846,88.3631479
"beniapukur lane",22.5517786,88.3658257
"jhawtala road",22.5399555,88.365933
"jannagar road",22.5463134,88.3664926
"beniapukur bazar",22.5474757,88.3591439
"beniapukur road",22.5500571,88.3654865
"taratala crossing",22.5326621,88.2917751
"r road crossing",22.572646,88.363895
"siriti crossing",22.4928904,88.3378981
"r rd",22.5677964,88.3603565
"raja dinendra street",22.5894453,88.376686
"garpar road",22.5803788,88.3757956
"dey road",22.555525,88.3902746
"institution street",22.5829741,88.3777414
"cannal road",22.5983974,88.4033349
"personage road",22.54455,88.3279476
"personage  st",22.54455,88.3279476
"terrace road",22.5161604,88.3620177
"canal road",22.5598664,88.3956024
"canal  st",22.561952,88.372431
"bakery road",22.6531098,88.3859728
"sivaprasad road",22.572646,88.363895
"rajab road",22.5309547,88.3237068
"commissionerate road",22.5502216,88.3285978
"babu ghat",22.5674048,88.3408687
"near meredith street",22.5669939,88.3528983
"procession jadubabu bazar",22.572646,88.363895
"sankar sarani",22.6086393,88.3813884
"alimuddin st",22.5553437,88.3609323
" alimuddin crossing",22.5553437,88.3609323
"ritchi road",22.5268778,88.3552683
"rash moni road",22.6547897,88.3598281
"moira st crossing",22.5431985,88.3560512
"park st crossing",22.5410939,88.3681333
"alimuddin crossing",22.5553437,88.3609323
"pramanick road crossing",22.5848126,88.3648328
"mullick bazar",22.5474757,88.3591439
"suspended mullick bazar crossing",22.5462085,88.3613933
"mullick bazar crossing",22.5453763,88.3630122
"collutala street",22.5754855,88.3589944
"chaterjee street",22.5277325,88.3416685
"mullick road crossing",22.4904397,88.3722914
"jl sarani crossing",22.5540362,88.3498154
"jl sarani",22.5540362,88.3498154
"auddey road",22.5151097,88.3365177
"nagar road",22.5936185,88.3874377
"das crossing",22.5167725,88.353863
"addy road",22.5203767,88.3389045
"panditia crossing",22.5220539,88.3581065
"j m avenue",22.5952779,88.365021
"red road crossing",22.5598425,88.3460609
"nagar crossing",22.572646,88.363895
"halder street",22.5224334,88.3440852
"nepal bhattacharjee street",22.5178531,88.3416974
"temple road crossing",22.5206996,88.3433953
"“y” road",22.5459733,88.2743301
"brabourn road",22.5785427,88.3523255
"tilak road",22.5191436,88.3530819
"talkies crossing",29.68954,-95.817711
"bhaduri street",22.5986023,88.3737947
"hatibagan crossing",22.6018726,88.373725
"goragacha road",22.5164029,88.3184903
"railway crossing",22.572646,88.363895
"depot road",22.5201872,88.3114829
"hide road",22.5271479,88.3064313
"chawal patty road",22.6108316,88.4228887
"kyd street",22.5558264,88.3524332
"spm rd",22.572646,88.363895
"patty road",22.5602525,88.3962735
"esplaned crossing",22.5609409,88.3540616
"bank road",22.595268,88.352855
"banerjee road crossing",22.561334,88.3588174
"sobhabazar street crossing",22.5972213,88.3607898
"sinthi crossing",22.6253681,88.3857615
"paul avenue",22.5952445,88.360603
" sadananda road",22.5203107,88.3454648
"baranagar bazar crossing",22.6326567,88.3711706
"chatterjee road crossing",22.6187404,88.3738522
"sadananda road",22.5203107,88.3454648
"dutta road crossing",22.535363,88.3608544
"palmer bazar",22.562628,88.3780377
"palmer  lane",22.562628,88.3780377
"khatick road",22.5497727,88.3854425
"main road crossing",22.4573346,88.3845767
"indrabiswas crossing",22.6075178,88.3801353
"gr road",22.5494281,88.3243486
"belgachia road",22.6067326,88.3860214
"biswas road crossing",22.531409,88.3495719
"biswas road",22.531409,88.3495719
"bright street",22.5370408,88.3688454
"tiljala road",22.5386216,88.3749377
"nutan bazar",22.7245906,88.3743889
"sarkar road",22.5663481,88.3974032
"h road crossing",22.7618688,88.3740376
